job_id,company,jobdescription,jobtitle,skills,joblocation_address,vacencies,Domain,Linkidin,time
1,Amazon,"The AWS Commerce Platform provides the back and front-end services that enable AWS customers to purchase AWS services and understand and manage their infrastructure costs. Come to join our team to tackle some of the hardest scalability, performance, and distributed computing challenges in the world. We process trillions of events per month using stream processing techniques (Kinesis), process billions of line items via map reduce (EMR), and manage artifacts through the latest in database technologies (DynamoDB and Aurora). We process big data and provide tools for customers to interactively understand their bills. We also provide the analytics that let customers manage billions of dollars of IT usage and spending. Because we sit at the nexus of all AWS services and interact directly with end-customers, we also work closely across all AWS teams to ensure that we offer a great customer experience.
",software development engineer,"1.Programming experience with at least one mainstream programming language such as Java or Python.
2.Experience in AWS technologies (SNS,SQS,Lambda,DDB.etc.)
3.Experience with distributed systems, consistent hashing, distributed locking, replication, and load balancing
4.Experience in E-Commerce payments/billing/invoicing processing
Experience in Agile/Scrum","Bengaluru,Karnataka",yes,amazon.com,https://www.linkedin.com/company/amazon/,0
2,Dell India,".Net DeveloperThe Intersect Group has a direct hire opportunity available in Wilmington, NC, for a .Net Developer. .Net Developer ESSENTIAL DUTIES and RESPONSIBILITIES-Design, diagram, code, debug, and implement ATS Financial Application which has a moderate degree of complexity.-Accountable for software quality.-Interact with QA individuals to determine ownership and resolution of reported defects.-Writes and maintains functional and technical specifications.-Researches and evaluates software and hardware to assist in programming or to use as program platforms.-Designs and codes screen layouts, graphical user interfaces, printed outputs, and interfaces with other systems.-Compiles code into programs and corrects errors detected in compile process.-Creates test transactions and runs tests to find errors and confirm program meets specifications.-Analyzes codes to find causes of errors and revises programs. .Net Developer EDUCATION and/or EXPERIENCEBachelor's degree (B. A.) from four-year college or university; or one to two years related experience and/or training; or equivalent combination of education and experience. Should have a broad knowledge of software development tools.Interested candidates please send resume in Word format Please reference job code 54088 when responding to this ad.",Net Developer,"NET,NET Developer, Hardware, Quality Assurance, SQL","Hydera�ba�d,Telangana",yes,dell.com,https://www.linkedin.com/company/dell/,0
3,Tech Mahindra,"Our client, a leading FinTech company, has an opening for a Fixed Income Business Analyst.  They would consider Direct Hire, or Contract to Hire.Candidate must have a strong background in SDLC, along with a strong background in Fixed Income, Structured Products, Corporate and Government bonds.  Must write SQL queries and stored procedures.  Highly preferred if the candidate has experience with FIX protocol.Primary responsibilities:Talk to end users and technologists in order to research and determine the business requirements for engagementsAnalyze, design and specify functional requirements and enhancements to existing systemsCommunicate verbal and written business and functional requirements to development and QAAssist in coordinating between development, QA and business units impacted by changes in requirements and designJob Requirement:5+ years of experience writing clear and detailed requirements specificationsAn ability to quickly understand the business requirements and technical constraints Ability to analyze and design new data flows for the fixed income and credit derivative electronic trading marketIn-depth understanding of the SDLCAbility to write SQL, and a fundamental understanding of database design, middleware, and object-oriented code.Skilled at explaining complex concepts and processes to a variety of stakeholders Knowledge of trading and post-trade processes in the US fixed income and credit derivative marketsKnowledge of FIX protocol ",Fixed Income Business Analyst- FIX/SQL,"Fixed Income, Bonds, Structured Products, SQL, SDLC, Agile, FIX, Java,","Mumbai,Maha�ra�shtra",yes,techmahindra.com,https://www.linkedin.com/company/techmahindra/,0
4,IBM India," Business Analyst with outstanding attention to detail and technological experience needed for an immediate full-time position representing 2020 Companies. ABOUT THE JOB The business analyst and administrator is ""the bridge"" between the troubles or opportunities of a project and the answers to fixing them by identifying areas that need improving or updating, finding solutions, and making the necessary changes within our customized CRM. Inquisitive, information-gathering people with an eye for detail do extremely well. CAREER OPPORTUNITY With 2020's rapid growth comes an exciting career path and professional development opportunities. We represent companies throughout the US across multiple industries affording unlimited growth. 2020 trains its teams to succeed in any environment, and equips them with the best technology and training to be flexible, engaging, and adept at solving problems. A typical career path starts here and progresses to growing in your skill set, development and certifications. Your course is limitless! ABOUT 2020 COMPANIES For nearly 25 years, 2020 Companies has been the premier outsourced sales and marketing agencies in the US launching and advocating new products and brands, penetrating new consumer segments, and executing sales and marketing strategies. 2020 trains our teams to succeed in any environment and equips them with the best technology and training to be flexible, engaging, and adept at solving problems. WHAT'S IN IT FOR YOU? Medical Benefits 401K Continued Education Paid Time- Off Located Overlooking Texas Motor Speedway Fun Work Environment CLICK TO APPLY NOW FOR INSTANT CONSIDERATION Duties and Responsibilities:Analyze business issues and data challenges of internal and external client organizations Partner with key users to identify and scope process improvement opportunities Offer system training and report-writing services to ensure maximum utilization of existing tools Create, review, and edit user requirements, specifications, business processes flows and recommend relevant solutions Create, review, and edit Salesforce.com formulas, validation rules, and workflow rules Develop functional specifications and system design specifications to drive development and testing Formalize business case development, project planning, and presentations to management for approval Lead cooperative team effort to create and execute software test plans Ensure issues are identified, tracked, reported on and resolved in a timely manner Work with client personnel to identify required changes Communicate needed changes to development team Assist in enforcement of project task completion, deadlines and schedules Gather input from supervisor and appropriately and accurately apply comments/feedback Advise stakeholders and management of progress, risk indicators, and mitigation efforts Communicate and apply project methodology standards Manage resources in accordance with project schedule Ensure project costs adhere with fiscal plan Perform all other duties as assigned Performance Measurements:Completion of projects, change requests, and reports by promised date Adherence to financial budgets of projects and outside services Delivery and acceptance of requested functional capabilities Qualifications:Bachelor's degree in related field 5 years of Salesforce administration experience Reports and Query writing experience using CRM, Excel, and SQL are essential Must possess strong knowledge of application programming, database and system design concepts Working knowledge of Salesforce.com Apex and Visualforce languages Strong analytical, problem-solving, planning and organizational skills Proficiency using Excel (for data analysis), Word, and PowerPoint are required Basic understanding of information technology and business concepts Familiarity with general business functions Demonstrated ability to communicate in both verbal and written communication Results-oriented and self-directed person with a delivery focus Ability to work independently or in a team environment",BUSINESS ANALYST & ADMINISTRATOR,"Analysis, Analyst, Business Analyst, CASE, CRM, Data Analysis, Database, Development, Excel, Management, PowerPoint, Programming, Project, Sales, SalesForce, SQL, Supervisor, Testing, Validation","Chennai,Tamil Na�du",yes,ibm.com,https://www.linkedin.com/company/ibm/,0
5,TCS,"our company is looking for a Technical Recruiter to seek out, attract and hire talented ITprofessionals. They should be able to adapt quickly to technological change, byusing creative sourcing methods to attract good people with those hard to find nicheskills. The right candidate should also have an understanding of IT, ERP and CloudSoftware Solutions.Requirements2 years in-house or agency recruiting experienceAt least 1+ year of experience recruiting for technical positionsMust have the ability to identify, screen and qualify candidates for IT positions andmanage the end-to-end recruitment processMust be innovative and creatively source using Social Media, Boolean and Networking skillsMust have the ability to effectively communicate with clients and candidatesExperience with Applicant Tracking Systems, preferably Bullhorn ATSExcellent verbal and written communicationMust be organized and detail orientedBenefitsWe are a start-up that believes in talent. Our goal is to help our clients build the most talented, committed and effective workforce of both full time and contract resources. We believe that contractors form an increasingly important part of the IT workforce and that the vast majority of companies undervalue and under utilize this critical component of their team.As a result we have developed a cloud-based, Contractor Relationship Management application called Flex-It that is fundamentally changing the way that companies perceive, engage and manage their contract resources.At 2Xcel we rely on our reputation to grow. Our reputation is 100% determined by our people. We only employee; intelligent, creative, engaging, free thinkers that are committed to our companies and our clients success.",IT Recruiter,"Agency, ERP, IT, recruiter, Technical Recruiter","Delhi,Delhi",yes,tcs.com,https://www.linkedin.com/company/tcs/,0
6,Hewlett-Packard India,"Experienced Infor Lawson Analyst who will assist in implementing several new platforms, upgrading the core Lawson system and supporting all Lawson related applications.Gather requirements, provide fit gap analysis and create effective technical solutions for the business needs.Design, validate and confirm new or changed functionality with the supported application environment that meets customer specifications.Provide consulting support for customized implementation and installation of the software and related integration elements.Work closely with business users and application team to design, build and execute a comprehensive integration and user acceptance test plan and scripts.Highly PreferredExperience in healthcare information technology with solid knowledge base of relational databases, programming and file structure creation and transfer.Certification in applicable application or system.",Lawson ERP Analyst,"Lawson, ERP, SQL, PL/SQL, query, finance, supply chain","Hydera�ba�d,Telangana",yes,hpe.com,https://www.linkedin.com/company/hpe/,0
7,HCL Technologies,"Our client in Louisville, CO is a company that takes pride in putting their employees first. We are looking for a passionate, smart and articulate Java Developer to help build and support their core software products and services. They are a small, stable, interactive technology company specializing in ecommerce with a highly-configurable, flexible ecommerce platform built on open source technology.  Our client offers a fast-paced environment alongside people who are hard-working and passionate about great code and utilizing the latest and greatest technologies.  In this role you will be constantly learning and challenged!Required Skills:Strong Java skillsExperience with ORM technologiesBuild and read regular expressionsProficient using Unix/Linux based OSAgile development experience (e.g. Scrum or Extreme Programming).ActiveMQ/Kafka a plusAWSStrong communication skills, both spoken and written Preferred Skills:MicroservicesCI/CDJava8SpringSpringbootAngularjsMaven/JenkinsCassandraZuulRibbonEureka Why make a move?  Here are some reasons why people love to work here: Great culture:  very casual, everyone gets along well, we have team events like watching the airshow from our offices/outside deck, 6-8 BBQ days out on the deck during Spring & Summer, kegerator, always food in the kitchen, etc.  There's always some fun lunch, meal, or event for the teams (we are known to shut down the office on Fridays for: Scifi movies, pro games, air show, bbq, and BEER.We do ""innovation-A'thons"" each quarter, where developers & other team members can be as creative as they want, introduce new methods/technologies to their peers & even work on prototypes of new product/service ideas – typically, the team will go completely offline for a few days for these events.  We have built & implemented several I-a-T ideas into production.Great benefits, competitive pay, flexible hours, & a motivated team of exceptional engineers who want to continue to grow technically. We spent almost $100k/year on education, conferences, etc. & any & every employee is encouraged to continue pursuing their technology passions – & we pay for it!We reward aptitude & performance over tenure; the brightest rise to the top naturally & there is opportunity for either greater technology responsibility or greater leadership responsibility.We do our best to keep up with trends in the industry & to that end have just begun migrating parts of our legacy system to microservices.  We're integrating some tools from the Netflix stack, namely Astyanax to interface with Cassandra, Eureka for service registration, & Zuul for routing. We have development teams that consist of devs & QA & we have a culture of heavy collaboration between all teams, preferring face-to-face communication over emails. ",Java Developer,"Java, Spring, Hibernate, Apache Tomcat, *Nix","Na�gpur,Maha�ra�shtra",yes,hcltech.com,https://www.linkedin.com/company/hcltech/,0
8,Cognizant Technology Solutions,"Symmetrix Solutions, LLC an elite IT Managed Services and IT consulting firm, is currently seeking candidates that fit the qualifications below: Deputy CTOJob DescriptionSYMMETRIX SOLUTIONS, an IT Managed Services Company provides a complete range of services that deliver full life-cycle management of critical business infrastructure and application platforms.The Deputy CTO is responsible for ensuring the alignment of enterprise wide technology with business strategy and operational processes including but not limited to all private and hybrid cloud hosting, cloud migration support, client network functions, connectivity, help desk, performance monitoring, data security, disaster recovery, telecommunications systems, website, intranet/internet security and performance.The successful candidate will have a verifiable record of accomplishment that demonstrates advanced leadership and mentoring skills, a diligent work ethic, and a commitment to outstanding employee relations and customer service excellence. S/he will have a hands-on, proactive leadership style with sufficient up-to-date and technical skills and knowledge to serve as an effective problem-solving resource and to instill confidence in their team and clients. S/he will have a comprehensive understanding of the external IT business climate.The Deputy CTO is expected to be a trusted partner to our customers and colleagues on the leadership team. S/he and will have the ability to quickly build successful, collaborative relationships with clients, peers, subordinates, and vendors. The Deputy CTO will lead with integrity and will demonstrate and promote the organization’s values and ethical standards. S/he will honor their commitments and will work with and through others, not around them. The Deputy CTO will endeavor to resolve any conflicts or differences in a constructive, tactful, and exemplary manner that forges trust and leads to win-win outcomes.The Deputy CTO will employ superior critical thinking and problem solving skills, exhibiting grace under pressure. The Deputy CTO will demonstrate superior presentation and communication skills to effectively convey strategic and operational goals, and to explain technical concepts to non-technical stakeholders.  Key Responsibilities and Expectations:Work in collaboration with Senior Executives to identify and achieve the strategic and operational objectives of the organization and its clients.Actively develop and implement initiatives consistent with organizational strategy.Actively contribute to the strategic planning process; identify future business development opportunities and cultivate.Strong ability to develop and author RFP’s and proposals.Attend and participate in all meetings with clients, staff and leadership. Required Skills, Education & ExperienceEducations and CertificationsBachelor’s degree in Information Technology or Computer Science preferred. Relevant technical certifications and competencies in project management and ITIL a plus.      Required ExperienceMinimum of 10 years IT/IS Management and Managed Services experience.Minimum of 5 years in a Senior Architecture role; Networking, Security, Systems and Applications.Verifiable record of substantive accomplishment in a senior IT leadership role with experience in an IT Managed Services environment.Broad understanding of infrastructure hardware and software systems including storage and security for data center hosted applications and virtual and private cloud solutions.Extensive experience in cloud migrations, architecture, pre-sales engineering, technology selection and project management.Proven ability to manage the entire spectrum of information technology, information and communications systems and operations.Demonstrated experience implementing and integrating information technology initiatives and leading effective, cohesive teams in diverse organizations with multiple sites across state lines or large geographic areas.",Deputy CTO,"Architecture; Networking, Security, Systems, Applications and Communications. Cloud Solutions and Migrations, Pre-sales Engineering, Technology Selections, Project Management. RFPs/Proposals.","Kolka�ta,West Bengal",yes,cognizant.com,https://www.linkedin.com/company/cognizant/,0
9,Infosys Technologies,"We are looking for an experienced, hands-on, and passionate leader to fill our Director of Engineering position in Roseville, CA. You will be directly responsible for leading and developing our team of software developers and QA analysts as they continue to rapidly evolve one of our core products. This includes leading the ongoing efforts of software development, testing, automation, monitoring and deployment processes. We need your proven expertise partnering with other cross functional groups (operations, customer support, product management, release management) to ensure the team is executing on our roadmap with high quality results while delivering a great user experience to our customers. Responsibilities: Lead development efforts in short Agile release cycles. Ensure absolute commitment by your team to deliver high quality product on time every releaseBe a trusted partner for senior management to determine best solutions. Help drive alignment and implement decisions throughout your teamSet clear goals, hold people accountable for achieving them, celebrate success, learn from failureProvide leadership in defining & refining development processes as the team growsWork with cross-functional development and operational teams to roll out and continuously improve/optimize deployment, speed and reliability of new software releases of the platformHelp lead automation initiatives and scale processes to support new product/software releases, clients and load/capacity needsOwn Information Security and associated controls for your product and team Qualifications: Collaborative attitude, people management and internal resource/project planning skills – ability to drive an agile and innovative (try and see instead of debate) cultureA B.S. degree in Engineering or Computer Science or related field required5+ years as a hands-on engineer developing commercial software in Microsoft technologies5+ years of software engineering management experience with direct reports in an Agile environment, including software engineers and quality assurance analystsExperience with agile development, continuous integration principles and development of engineering best practices (tools, branching methodologies)Professional communication skills to partner with product management and support leads, resolve customer/client escalations and perform as ‘team technical lead’Ability to establish, gather, and analyze metrics to show team and product performanceAbility to provide periodic updates and statuses to management, internal and integral customers and answer requests for RFP, documentation etc.Ability to lead the team to support, troubleshoot, issues across the entire stack - hardware, software, application, and networkProficiency with Web Architectures (DB, Application, storage, networking and cloud)Deep knowledge (hands-on) technical development activities and processes is essential along with solid, demonstrable experience in developing, deploying and supporting useful applications, either as part of a team or on your ownExperience with configuration management systems and the ability to track status and experience in troubleshooting a variety of issues, from system resources to application stack tracesExperience with databases, SQL, virtual hosting environments and understanding of network protocols and client-server communication, including HTTP, DNS, SSL, SSH Technology Qualifications: Experience in Microsoft technologies a must(BS & 12+ years) of Applied Technology and ManagementMVC 5, C#, EF6, preferably in a financial applicationProficiency in Microsoft development tools and technologiesAngular and other front-end JS frameworksDatabase and SQL/scripting knowledgeExperience with containerized environments",Director of Engineering,"Director, Engineering, Development, Quality, C#, Microsoft, Technology, Leadership","Lucknow,Uttar Pradesh",yes,infosys.com,https://www.linkedin.com/company/infosys/,0
10,Wipro,"Subject matter expertise on Workday (both front end (user-facing) and back-end).Updates and documents business processes as necessary.Create Integration Spec documentsCreate & Manage Configurations for HCMCreates and manages reports, scheduled and ad hoc.Assists in maintaining the interfaces between Core HCM, Benefits & Time with the various service providers.Analyzes current processes, tools, system or database and makes recommendations for development, improvement or simplification.Make recommendation for enhancements and drive their execution. Provide root cause analysis and resolution to issues related to Employee Data.Acts as a subject matter expert in cross-functional teams to provide recommendations.Participate in various testing cyclesQualifications5-6 years of experience in system design, testing or implementation.5 years of experience in general human resources affairs.3-4 years of experience with Workday.5+ years in end to end user acceptance training and script development.Knowledge of business requirements management.Familiarity with EIBs and Mass Data feeds.Proficiency in Microsoft Office SuiteRequires advanced knowledge of HRIS principles and practices and proven ability to systematically interpret functional requirements into applications and design.Requires advanced knowledge in Workday.Ability to communicate clearly and concisely, both orally and in writing.Ability to convey technical information in an accessible and understandable manner.Ability to work independently and make decisions with minimal supervisionTrack record of successfully partnering with various departments in order deploy various HRIS modules.",Senior Work Day Analyst,"Workday , Work day testing, HCM,","Ludhia�na,Punjab",yes,wipro.com,https://www.linkedin.com/company/wipro/,0
